product_name,original_url,currency,brand_name,quantity_measurement,product_image,price_per_unit,price,is_available,old_price,discount,product_hash,product_id,discount_start,discount_end,category
Gustona Zamrznuti pomfrit Gustona 1kg,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Krompir/Zamrznuti-pomfrit-Gustona-1kg/p/7722196,RSD,,1 Kg,https://static.maxi.rs/medias/sys_master/h16/h44/9125623267358.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,249.99 rsd/Kg,24999,True,,False,9c5151bf909a5f4c33a64d24903023a1,7722196,,,Smrznuti proizvodi
Maxi Smrz.rib.stap.Premia/Maxi 250g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuta-riba/Panirani-riblji-proizvodi/Smrz-rib-stap-Premia-Maxi-250g/p/7181341,RSD,,250 gr,https://static.maxi.rs/medias/sys_master/products/h88/h54/9190005604382.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,879.96 rsd/Kg,21999,True,,False,8cbd1520873d92cdb4c5c9dc5b13c981,7181341,,,Smrznuti proizvodi
Frikom Smrznuti kukuruz secerac Frikom 400g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Kukuruz/Smrznuti-kukuruz-secerac-Frikom-400g/p/7641125,RSD,,400 gr,https://static.maxi.rs/medias/sys_master/h0c/hea/9005552795678.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,499.98 rsd/Kg,19999,True,,False,60db07a1914a73511e539537d3c5e813,7641125,,,Smrznuti proizvodi
Frikom Smrznuta carska mesavina Frikom 400g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Meshano-povrcje/Smrznuta-carska-mesavina-Frikom-400g/p/7641122,RSD,,400 gr,https://static.maxi.rs/medias/sys_master/h8e/h26/9005548863518.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,549.98 rsd/Kg,21999,True,,False,a1bdaeb489fba292b871ef3f73ab7aa6,7641122,,,Smrznuti proizvodi
Frikom Smrz.riblji stapici panirani Frikom 300g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuta-riba/Panirani-riblji-proizvodi/Smrz-riblji-stapici-panirani-Frikom-300g/p/7176872,RSD,,300 gr,https://static.maxi.rs/medias/sys_master/hf9/h65/9073150951454.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,999.97 rsd/Kg,29999,True,,False,46c5cec60a6db301a6f97d8289afb8ad,7176872,,,Smrznuti proizvodi
Frikom Smrz.sumsko voce 300g Frikom,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-vocje/Ostalo-vocje-i-miks/Smrz-sumsko-voce-300g-Frikom/p/7647625,RSD,,300 gr,https://static.maxi.rs/medias/sys_master/products/h73/hea/9142368403486.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,1366.63 rsd/Kg,40999,True,,False,b7031cef21a8469ed80d17fa2e40e7c3,7647625,,,Smrznuti proizvodi
POLAR FOOD DOO Smrznuti Kineski mix Polar Food 400g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Meshano-povrcje/Smrznuti-Kineski-mix-Polar-Food-400g/p/7513712,RSD,,400 gr,https://static.maxi.rs/medias/sys_master/products/he6/h6a/9143332700190.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,299.98 rsd/Kg,11999,True,,False,8b7ef32a2a63648774519837b54d77fd,7513712,,,Smrznuti proizvodi
Maxi Smrznuta mes.ruska salata Maxi 450g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Meshano-povrcje/Smrznuta-mes-ruska-salata-Maxi-450g/p/7346062,RSD,,450 gr,https://static.maxi.rs/medias/sys_master/h50/h7b/8970232496158.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,331.09 rsd/Kg,14899,True,,False,d133edca6b4a6f3ee2257226a263799b,7346062,,,Smrznuti proizvodi
Maxi Smrznuti oslic bez glave Premia 1kg,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuta-riba/Morska-i-rechna-riba/Smrznuti-oslic-bez-glave-Premia-1kg/p/7210890,RSD,,1 Kg,https://static.maxi.rs/medias/sys_master/products/h04/he8/9182792384542.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,"549,99 RSD/kilogram",54999,True,,False,475e4bce5636695c96466b442704ef42,7210890,,,Smrznuti proizvodi
Frikom Smrznuta visnja 300g Frikom,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-vocje/Vishnja/Smrznuta-visnja-300g-Frikom/p/7647624,RSD,,300 gr,https://static.maxi.rs/medias/sys_master/hee/h0a/9059648733214.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,949.97 rsd/Kg,28499,True,,False,baa2bd786da7f533b8dda31331043b57,7647624,,,Smrznuti proizvodi
